DATAFLOW,LAST UPDATE,freq,reporter,product,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,EXPQNT,2024,6803055
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,EXPVAL,2024,1345996
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,IMPQNT,2024,3501447638
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,IMPVAL,2024,302193040
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101010,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,EXPQNT,2024,1618300
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,EXPVAL,2024,99153
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,IMPQNT,2024,1610007764
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,IMPVAL,2024,176797299
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07101020,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291100,EXPQNT,2024,3046595
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291100,EXPVAL,2024,1658516
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291100,IMPQNT,2024,162201437
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291100,IMPVAL,2024,572685587
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291100,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,EXPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,EXPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,IMPQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,IMPVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291200,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,EXPQNT,2024,460750
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,EXPVAL,2024,285998
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,IMPQNT,2024,66087975
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,IMPVAL,2024,18960779
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,PRODQNT,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,PRODVAL,2024,0
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291300,QNTUNIT,2024,kg
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291410,EXPQNT,2024,137005
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291410,EXPVAL,2024,24404
ESTAT:DS-059358(1.0),27/04/26 11:00:00,A,PL,07291410,IMPQNT,2024,0
